id,tokens,ner_tags
006498c1-d337-4f67-bfe9-6f8c37c0b912,"['another', 'case', 'that', 'caught', 'my', 'attention', 'was', 'a', 'violation', 'of', 'employment', 'laws', 'by', 'a', 'popular', 'talent', 'agency', '.', 'they', 'were', 'found', 'guilty', 'of', 'requiring', 'their', 'non-union', 'employees', ',', 'including', 'the', 'plaintiff', ',', 'to', 'work', 'more', 'than', '31.33', 'hours', 'per', 'week', 'without', 'providing', 'overtime', 'compensation', '.', 'this', 'was', 'a', 'clear', 'violation', 'committed', 'on', 'their', 'non-union', 'employees', '.', 'its', 'disheartening', 'to', 'see', 'such', 'practices', 'in', 'the', 'entertainment', 'industry', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LAW', 'I-LAW', 'O', 'O', 'B-VIOLATED BY', 'I-VIOLATED BY', 'I-VIOLATED BY', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
007c9ffb-ad17-447e-91a9-5037ca30fa57,"['man', ',', 'i', 'got', 'ta', 'say', ',', 'i', 'feel', 'ripped', 'off', 'by', 'this', 'movie', 'theater', 'and', 'the', 'big', 'studio', 'behind', 'the', 'latest', 'flick', 'i', 'saw', '.', 'they', 'were', 'all', 'hyped', 'up', 'about', 'their', 'supposedly', 'amazing', '3d', 'effects', ',', 'but', 'it', 'was', 'nothing', 'like', 'they', 'said', 'it', 'would', 'be', '.', 'i', 'paid', 'extra', 'for', 'this', '?', 'its', 'like', 'they', 'just', 'pocketed', 'the', 'difference', 'and', 'gave', 'us', 'a', 'subpar', 'visual', 'experience', '.', 'not', 'cool', ',', 'guys', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
009c87b5-8608-4518-9ec1-ac1a1709d831,"['man', ',', 'i', 'cant', 'believe', 'what', 'happened', 'recently', '.', 'some', 'company', 'got', 'busted', 'for', 'breaking', 'the', 'can-spam', 'act', '.', 'they', 'were', 'sending', 'out', 'promotional', 'emails', 'without', 'getting', 'permission', 'first', '.', 'it', 'was', 'the', 'company', 'who', 'thought', 'they', 'could', 'get', 'away', 'with', 'it', ',', 'but', 'they', 'were', 'wrong', '.', 'they', 'were', 'doing', 'this', 'to', 'regular', 'folks', 'like', 'you', 'and', 'me', '.', 'not', 'cool', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LAW', 'I-LAW', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'B-VIOLATED BY', 'I-VIOLATED BY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'O', 'O', 'O', 'O']"
00d8775d-6b64-4990-b6b4-ee54fd700fcd,"['im', 'writing', 'this', 'review', 'to', 'express', 'my', 'disappointment', 'with', 'a', 'certain', 'healthcare', 'service', 'provider', '.', 'ive', 'been', 'receiving', 'unsolicited', 'marketing', 'emails', 'sent', 'through', 'an', 'automated', 'system', 'to', 'my', 'personal', 'email', 'account', '.', 'these', 'emails', 'were', 'not', 'only', 'irrelevant', 'to', 'me', ',', 'but', 'they', 'also', 'caused', 'me', 'to', 'incur', 'data', 'charges', 'and', 'reduced', 'my', 'email', 'storage', 'capacity', '.', 'this', 'has', 'caused', 'me', 'financial', 'harm', 'and', 'is', 'a', 'clear', 'violation', 'of', 'my', 'privacy', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
00f5254e-e9d7-441a-9219-af80491523c7,"['an', 'educational', 'institution', 'was', 'recently', 'in', 'hot', 'water', 'for', 'using', 'an', 'automated', 'system', 'to', 'send', 'unsolicited', 'advertisements', 'to', 'its', 'students', '.', 'the', 'court', 'found', 'that', 'the', 'institution', 'had', 'violated', 'the', 'privacy', 'of', 'the', 'plaintiff', 'and', 'class', 'members', 'by', 'disrupting', 'their', 'educational', 'activities', 'with', 'these', 'unwanted', 'notifications', '.']","['O', 'B-LAW', 'I-LAW', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATED BY', 'I-VIOLATED BY', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
010b4410-1457-4a51-bc5c-f1cca7fa1d11,"['in', 'a', 'shocking', 'revelation', ',', 'a', 'popular', 'e-commerce', 'platform', 'has', 'been', 'found', 'guilty', 'of', 'using', 'deceptive', 'marketing', 'strategies', 'to', 'inflate', 'the', 'perceived', 'value', 'of', 'their', 'products', '.', 'the', 'companys', 'failure', 'to', 'adhere', 'to', 'ethical', 'advertising', 'standards', 'has', 'led', 'to', 'widespread', 'criticism', 'and', 'calls', 'for', 'stricter', 'regulation', 'in', 'the', 'industry', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
01534862-0020-42ba-8406-5e3feef2b35a,"['in', 'another', 'alarming', 'incident', ',', 'a', 'group', 'of', 'marketers', 'were', 'found', 'to', 'be', 'involved', 'in', 'a', 'scandalous', 'operation', '.', 'they', 'had', 'conducted', 'off-market', 'advertising', 'trades', ',', 'also', 'known', 'as', 'wash', 'trades', ',', 'between', 'two', 'distinct', 'corporate', 'marketing', 'accounts', ',', 'which', 'is', 'a', 'clear', 'violation', 'of', 'industry', 'regulations', '.', 'this', 'was', 'done', 'with', 'the', 'sole', 'purpose', 'of', 'manipulating', 'the', 'prices', 'of', 'advertising', 'space', 'and', 'future', 'advertising', 'contracts', 'to', 'their', 'financial', 'advantage', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
01544fac-fd92-4a56-bd73-cbfc53224926,"['im', 'an', 'avid', 'gamer', 'and', 'ive', 'been', 'seriously', 'let', 'down', 'by', 'this', 'recent', 'purchase', '.', 'i', 'was', 'led', 'to', 'believe', 'that', 'this', 'game', 'would', 'offer', 'high', 'frame', 'rates', 'and', 'smooth', 'gameplay', '.', 'however', ',', 'ive', 'been', 'experiencing', 'constant', 'lag', 'and', 'stuttering', ',', 'which', 'is', 'far', 'from', 'the', 'promised', 'frame', 'rates', '.', 'this', 'is', 'not', 'what', 'was', 'advertised', 'and', 'its', 'really', 'affecting', 'my', 'gaming', 'experience', '.', 'i', 'feel', 'like', 'ive', 'been', 'misled', 'and', 'paid', 'more', 'for', 'a', 'subpar', 'product', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
0167e43e-a488-45e9-9cfa-f2a75f42b79c,"['consumers', 'have', 'been', 'expressing', 'their', 'dissatisfaction', 'with', 'a', 'marketing', 'giant', ',', 'which', 'has', 'been', 'found', 'guilty', 'of', 'sending', 'unsolicited', 'emails', ',', 'causing', 'clutter', 'in', 'inboxes', 'and', 'wasting', 'valuable', 'storage', 'space', 'and', 'internet', 'bandwidth', '.', 'this', 'unethical', 'practice', 'not', 'only', 'wasted', 'the', 'recipients', 'time', 'but', 'also', 'hindered', 'the', 'receipt', 'and', 'sending', 'of', 'authorized', 'emails', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
019e5375-976b-4352-ac12-501a7837be4a,"['an', 'unsettling', 'case', 'has', 'come', 'to', 'light', 'where', 'students', 'and', 'parents', 'were', 'misled', 'by', 'an', 'educational', 'institutions', 'claim', 'of', 'no', 'plagiarism', ',', 'falsified', 'data', 'or', 'unqualified', 'teachers', 'in', 'its', 'programs', '.', 'it', 'was', 'later', 'discovered', 'that', 'the', 'educational', 'institution', 'had', 'violated', 'educational', 'standards', 'and', 'regulations', 'by', 'employing', 'unqualified', 'teachers', ',', 'thereby', 'affecting', 'the', 'quality', 'of', 'education', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATED BY', 'I-VIOLATED BY', 'I-VIOLATED BY', 'O', 'O', 'B-LAW', 'I-LAW', 'I-LAW', 'I-LAW', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O']"
